iter	Passed	Remaining
946	38777	2170
947	38826	2129
948	38861	2088
949	38898	2047
950	38940	2006
951	38984	1965
952	39032	1925
953	39068	1883
954	39109	1842
955	39154	1802
956	39199	1761
957	39241	1720
958	39286	1679
959	39333	1638
960	39373	1597
961	39417	1557
962	39453	1515
963	39489	1474
964	39532	1433
965	39570	1392
966	39614	1351
967	39653	1310
968	39693	1269
969	39742	1229
970	39787	1188
971	39835	1147
972	39875	1106
973	39916	1065
974	39956	1024
975	40001	983
976	40044	942
977	40086	901
978	40133	860
979	40171	819
980	40211	778
981	40254	737
982	40295	696
983	40340	655
984	40387	615
985	40433	574
986	40480	533
987	40523	492
988	40571	451
989	40618	410
990	40658	369
991	40696	328
992	40738	287
993	40777	246
994	40826	205
995	40873	164
996	40914	123
997	40955	82
998	40993	41
999	41037	0
